format	extension	gzipped	bzipped
fasta	.fasta	False	False
fasta	.fa	False	False
fasta	.fasta.gz	True	False
fasta	.fa.gz	True	False
fasta	.fasta.bz2	False	True
fasta	.fa.bz2	False	True
fastq	.fastq	False	False
fastq	.fq	False	False
fastq	.fastq.gz	True	False
fastq	.fq.gz	True	False
fastq	.fastq.bz2	False	True
fastq	.fq.bz2	False	True
bam	.bam	False	False
cram	.cram	False	False
fast5	.fast5	False	False
pod5	.pod5	False	False
